Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,See You Again (feat. Kali Uchis),"Tyler, The Creator",hip hop,2017,79,56,56,-9,11,62,180,37,10,93
2,Starboy,The Weeknd,r&b,2016,186,59,68,-7,14,49,230,14,28,92
3,Sweater Weather,The Neighbourhood,rock,2013,124,81,61,-3,10,40,240,5,3,91
4,Lover,Taylor Swift,pop,2019,69,54,36,-8,12,45,221,49,9,91
5,No Role Modelz,J. Cole,hip hop,2014,100,52,69,-8,5,49,293,32,34,90
6,Pink + White,Frank Ocean,hip hop,2016,160,55,55,-7,42,55,185,67,11,89
7,Sure Thing,Miguel,r&b,2010,81,61,68,-8,19,50,195,3,10,89
8,Why'd You Only Call Me When You're High?,Arctic Monkeys,rock,2013,92,63,69,-6,10,80,161,5,4,89
9,Do I Wanna Know?,Arctic Monkeys,rock,2013,85,53,55,-8,22,41,272,19,3,89
10,Circles,Post Malone,hip hop,2019,120,76,70,-3,9,55,215,19,4,89
11,Locked out of Heaven,Bruno Mars,pop,2012,144,70,73,-4,31,87,233,5,4,89
12,When I Was Your Man,Bruno Mars,pop,2012,73,28,61,-9,9,39,214,93,4,89
13,The Hills,The Weeknd,r&b,2015,113,56,59,-7,14,14,242,7,5,88
14,Call Out My Name,The Weeknd,r&b,2018,134,59,46,-5,31,18,228,17,4,88
15,That's What I Like,Bruno Mars,pop,2016,134,56,85,-5,9,86,207,1,4,88
16,Passionfruit,Drake,hip hop,2017,112,46,81,-11,11,36,299,26,4,87
17,goosebumps,Travis Scott,hip hop,2016,130,73,84,-3,15,43,244,8,5,87
18,SICKO MODE,Travis Scott,hip hop,2018,155,73,83,-4,12,45,313,1,22,87
19,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,hip hop,2019,90,52,76,-4,7,93,158,53,6,87
20,Young And Beautiful,Lana Del Rey,pop,2013,114,42,32,-9,11,15,236,26,4,87
21,The Less I Know The Better,Tame Impala,pop,2015,117,74,64,-4,17,79,216,1,3,86
22,All The Stars (with SZA),Kendrick Lamar,hip hop,2018,97,63,70,-5,9,55,232,6,6,86
23,Daddy Issues,The Neighbourhood,rock,2015,85,52,59,-9,12,34,260,7,3,86
24,Ni**as In Paris,JAY-Z,hip hop,2011,140,86,79,-6,35,78,219,13,31,86
25,Lucid Dreams,Juice WRLD,hip hop,2018,84,57,51,-7,34,22,240,35,20,86
26,Unforgettable,French Montana,hip hop,2017,98,77,73,-5,10,73,234,3,12,86
27,Adore You,Harry Styles,pop,2019,99,77,68,-4,10,57,207,2,5,86
28,everything i wanted,Billie Eilish,pop,2019,120,23,70,-14,11,24,245,90,10,86
29,Love On The Brain,Rihanna,pop,2016,172,64,51,-5,8,38,224,7,5,86
30,LOVE. FEAT. ZACARI.,Kendrick Lamar,hip hop,2017,126,59,80,-7,15,78,213,26,9,85
31,Wet Dreamz,J. Cole,hip hop,2014,176,72,50,-8,11,54,239,7,36,85
32,Redbone,Childish Gambino,hip hop,2016,160,35,75,-11,12,60,327,17,10,85
33,Lost,Frank Ocean,hip hop,2012,123,60,91,-5,17,50,234,3,23,85
34,Apocalypse,Cigarettes After Sex,pop,2017,94,47,37,-9,11,18,291,2,3,85
35,Lost in the Fire (feat. The Weeknd),Gesaffelstein,r&b,2019,101,67,66,-12,12,17,202,9,4,85
36,Drip Too Hard (Lil Baby & Gunna),Lil Baby,hip hop,2018,113,66,90,-7,53,39,146,9,29,85
37,when the party's over,Billie Eilish,pop,2019,83,11,37,-14,9,20,196,98,10,85
