Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Dreams - 2004 Remaster,Fleetwood Mac,rock,1977,120,49,83,-10,13,79,258,6,3,87
2,Dancing Queen,ABBA,pop,1976,101,87,54,-7,79,75,230,36,4,86
3,Hotel California - 2013 Remaster,Eagles,rock,1976,147,51,58,-9,6,61,391,1,3,86
4,The Chain - 2004 Remaster,Fleetwood Mac,rock,1977,152,67,55,-9,5,48,270,1,5,84
5,Ain't No Sunshine,Bill Withers,funk,1971,78,42,53,-11,12,52,125,46,12,84
6,Don't Stop Me Now - Remastered 2011,Queen,rock,1978,156,87,56,-5,78,61,209,5,17,84
7,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,rock,1972,137,53,60,-9,9,34,282,43,3,83
8,Roxanne,The Police,rock,1978,134,75,62,-9,5,66,192,4,36,83
9,Bohemian Rhapsody - Remastered 2011,Queen,rock,1975,71,40,41,-10,30,22,354,27,5,83
10,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,pop,1979,120,49,75,-10,16,54,293,2,4,83
11,Mr. Blue Sky,Electric Light Orchestra,rock,1977,178,34,39,-10,25,48,303,65,3,82
12,Go Your Own Way - 2004 Remaster,Fleetwood Mac,rock,1977,135,95,58,-5,7,80,224,2,4,82
13,Take It Easy - 2013 Remaster,Eagles,rock,1972,139,67,57,-10,13,74,212,34,3,82
14,Vienna,Billy Joel,rock,1977,125,50,53,-7,8,31,214,66,3,81
15,Lovely Day,Bill Withers,funk,1977,98,65,69,-8,11,71,255,29,3,81
16,Stuck In The Middle With You,Stealers Wheel,rock,1972,124,57,82,-9,11,96,209,9,4,81
17,Don't Go Breaking My Heart,Elton John,rock,1975,131,84,73,-9,6,78,275,15,3,81
18,Three Little Birds,Bob Marley & The Wailers,soul,1977,74,49,83,-10,4,63,180,1,7,81
19,Wild World,Yusuf / Cat Stevens,folk,1970,153,54,48,-9,11,57,201,35,3,81
20,Boys Don't Cry,The Cure,pop,1979,169,84,46,-6,18,67,156,1,6,80
21,Landslide,Fleetwood Mac,rock,1975,159,16,41,-22,12,42,199,88,3,80
22,Is This Love,Bob Marley & The Wailers,soul,1978,122,56,78,-8,7,76,232,11,10,80
23,I Want You Back,The Jackson 5,soul,1969,197,54,47,-14,37,89,176,31,6,80
24,A Horse with No Name,America,rock,1972,123,51,65,-17,16,83,252,69,5,80
25,American Pie,Don McLean,rock,1971,138,48,53,-12,8,49,517,70,6,80
26,Stairway to Heaven - Remaster,Led Zeppelin,rock,1971,82,34,34,-12,12,20,483,58,3,80
27,Come and Get Your Love - Single Version,Redbone,folk,1973,107,80,73,-8,7,96,206,17,5,80
28,Goodbye Yellow Brick Road - Remastered 2014,Elton John,rock,1973,121,47,56,-8,15,40,193,45,3,79
29,Starman - 2012 Remaster,David Bowie,rock,1972,100,45,49,-10,54,55,254,17,3,79
30,Tiny Dancer,Elton John,rock,1971,145,43,41,-11,15,28,377,38,3,79
31,Psycho Killer - 2005 Remaster,Talking Heads,rock,1977,123,52,72,-8,13,94,261,7,6,79
32,You're So Vain,Carly Simon,rock,1972,106,68,66,-8,8,65,258,16,3,79
33,Message In A Bottle,The Police,rock,1979,151,81,58,-7,22,87,290,3,4,79
34,Escape (The Pina Colada Song),Rupert Holmes,rock,1979,139,51,84,-14,4,95,276,47,5,79
35,Baba O'Riley,The Who,rock,1971,117,72,49,-8,29,15,300,31,4,79
36,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,soul,1970,109,60,68,-11,10,83,161,5,3,79
37,Piano Man,Billy Joel,rock,1973,178,55,33,-6,19,43,339,61,3,79
38,"Another Brick in the Wall, Pt. 2",Pink Floyd,rock,1979,104,39,69,-16,25,72,239,8,4,79
39,Imagine - Remastered 2010,John Lennon,rock,1971,76,26,55,-12,9,17,188,91,3,79
40,What You Won't Do for Love,Bobby Caldwell,rock,1978,84,40,64,-17,11,80,286,46,6,78
41,Rock with You - Single Version,Michael Jackson,r&b,1979,114,54,81,-13,16,85,221,18,4,78
42,Brandy (You're a Fine Girl),Looking Glass,pop,1972,125,63,72,-11,13,83,187,40,6,78
43,Jamming,Bob Marley & The Wailers,soul,1977,124,48,94,-11,12,77,211,11,31,78
44,The Joker,Steve Miller Band,rock,1973,83,45,60,-10,21,80,265,37,4,78
45,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,adult standards,1975,104,50,74,-13,5,97,197,6,3,78
46,How Deep Is Your Love,Bee Gees,funk,1979,105,36,63,-9,13,67,245,11,3,78
47,Dancing in the Moonlight,King Harvest,rock,1973,136,44,66,-16,17,77,181,74,6,77
48,Love Grows (Where My Rosemary Goes),Edison Lighthouse,rock,1970,109,82,57,-5,9,75,175,40,3,77
49,(Don't Fear) The Reaper,Blue Öyster Cult,rock,1976,141,93,33,-9,30,39,308,0,7,77
50,Heroes - 2017 Remaster,David Bowie,rock,1977,112,76,49,-6,9,44,371,0,3,77
51,Beast Of Burden - Remastered 1994,The Rolling Stones,rock,1978,101,88,78,-4,4,89,265,39,3,77
52,Don't Stop 'Til You Get Enough,Michael Jackson,r&b,1979,119,82,88,-10,18,95,365,13,9,77
53,Sweet Emotion,Aerosmith,rock,1975,99,76,38,-11,10,49,274,0,4,77
54,The Boys Are Back In Town,Thin Lizzy,rock,1976,81,71,45,-10,21,77,267,23,5,77
55,Father And Son,Yusuf / Cat Stevens,folk,1970,136,33,50,-12,10,37,221,54,4,77
56,Right Down the Line,Gerry Rafferty,rock,1978,128,32,78,-15,11,77,268,21,3,76
57,Bennie And The Jets - Remastered 2014,Elton John,rock,1973,133,67,67,-8,50,78,323,26,5,76
58,Reelin' In The Years,Steely Dan,rock,1972,135,54,49,-17,9,72,277,15,3,76
59,Never Going Back Again - 2004 Remaster,Fleetwood Mac,rock,1977,176,34,65,-13,8,95,134,86,4,76
60,Layla,Derek & The Dominos,rock,1970,116,90,40,-4,29,50,424,58,7,76
61,Hooked On A Feeling,Blue Swede,pop,1973,118,82,55,-7,30,93,173,26,8,76
62,Into the Mystic - 2013 Remaster,Van Morrison,rock,1970,86,52,61,-10,12,80,206,37,3,76
63,One of These Nights - 2013 Remaster,Eagles,rock,1975,110,61,66,-10,8,77,292,6,3,75
64,Angeleyes,ABBA,pop,1979,133,92,72,-6,9,96,261,52,3,75
65,Walk On the Wild Side,Lou Reed,rock,1972,105,32,57,-17,9,39,254,68,11,75
66,She's Always a Woman,Billy Joel,rock,1977,177,32,29,-12,12,38,201,80,3,75
67,Somebody To Love - Remastered 2011,Queen,rock,1976,109,70,41,-7,23,33,296,19,6,75
68,London Calling - Remastered,The Clash,rock,1979,134,80,65,-7,8,78,200,12,5,75
69,Riders on the Storm,The Doors,rock,1971,104,72,55,-12,11,72,435,25,3,75
70,Chiquitita,ABBA,pop,1979,84,55,50,-8,31,37,326,73,4,75
71,Jolene,Dolly Parton,pop,1974,111,54,67,-11,13,81,162,57,4,75
72,American Girl,Tom Petty and the Heartbreakers,rock,1976,115,82,55,-6,37,78,215,45,3,75
73,Fire and Rain - 2019 Remaster,James Taylor,rock,1970,76,27,60,-17,9,34,204,77,4,75
74,Don't Bring Me Down,Electric Light Orchestra,rock,1979,116,87,64,-6,8,81,243,14,3,75
75,Ventura Highway,America,rock,1972,131,58,67,-10,6,82,211,22,3,74
76,Band On The Run - 2010 Remaster,Wings,rock,1973,125,60,48,-9,11,67,313,8,3,74
77,Sir Duke,Stevie Wonder,soul,1976,107,57,59,-10,8,95,233,16,7,74
78,Rebel Rebel - 2016 Remaster,David Bowie,rock,1974,126,69,64,-16,28,46,275,21,5,74
79,What a Fool Believes,The Doobie Brothers,rock,1978,121,38,76,-15,5,99,224,28,4,74
80,What's Going On,Marvin Gaye,soul,1971,202,72,28,-10,40,83,233,45,10,73
81,Sunny,Boney M.,pop,1976,122,87,65,-6,13,80,242,9,11,73
82,Lola - 2020 Stereo Remaster,The Kinks,rock,1970,151,89,46,-5,7,93,242,46,4,73
83,50 Ways to Leave Your Lover,Paul Simon,rock,1975,102,37,82,-13,8,29,217,17,8,73
84,Do It Again,Steely Dan,rock,1972,125,43,66,-15,7,94,357,34,3,73
85,Blame It on the Boogie,The Jacksons,funk,1978,113,64,77,-10,9,88,214,8,8,73
86,Lean on Me,Bill Withers,funk,1972,75,22,62,-14,12,43,259,78,7,73
87,Video Killed The Radio Star,The Buggles,pop,1980,131,68,68,-12,20,25,253,10,8,73
88,Hopelessly Devoted To You - From “Grease”,Olivia Newton-John,adult standards,1978,111,34,59,-13,12,32,185,29,3,73
89,Dirty Work,Steely Dan,rock,1972,73,21,58,-18,12,52,190,77,3,72
90,Move on Up - Single Edit,Curtis Mayfield,soul,1970,139,97,54,-6,12,93,166,42,9,72
91,Life on Mars? - 2015 Remaster,David Bowie,rock,1971,123,38,45,-15,5,22,236,64,4,72
92,I'm Not In Love,10cc,rock,1975,134,52,40,-16,28,16,367,69,6,72
93,Surrender,Cheap Trick,rock,1978,134,96,52,-7,66,87,254,1,4,72
94,Miss You - Remastered,The Rolling Stones,rock,1978,110,71,80,-5,34,85,289,44,4,72
95,Pink Moon,Nick Drake,folk,1972,82,43,64,-8,12,40,124,87,4,71
96,Sara Smile,Daryl Hall & John Oates,rock,1975,150,40,59,-11,12,20,185,36,7,71
97,Waiting In Vain,Bob Marley & The Wailers,soul,1977,79,46,77,-11,6,80,256,3,33,71
98,Young Hearts Run Free,Candi Staton,soul,1976,115,65,65,-9,20,85,248,13,4,71
99,It's Too Late,Carole King,pop,1971,208,44,45,-13,13,81,233,49,4,71
100,Wild Horses - 2009 Mix,The Rolling Stones,rock,1971,140,39,43,-7,8,16,342,69,3,71
101,Only the Good Die Young,Billy Joel,rock,1977,76,87,58,-6,9,76,236,16,16,71
102,Vincent,Don McLean,rock,1971,92,9,42,-19,34,46,243,91,4,71
103,Mercy Mercy Me (The Ecology),Marvin Gaye,soul,1971,93,63,50,-12,10,52,194,33,5,70
104,Reminiscing - Remastered 2010,Little River Band,rock,1978,189,44,35,-11,10,35,258,76,4,70
105,If You Want Me to Stay,Sly & The Family Stone,soul,1973,102,48,84,-12,11,76,180,28,5,70
106,Alone Again (Naturally),Gilbert O'Sullivan,rock,1972,172,46,56,-8,16,56,218,58,4,70
107,Our House,"Crosby, Stills, Nash & Young",rock,1970,140,21,59,-15,12,38,180,90,5,70
108,SOS,ABBA,pop,1975,125,71,42,-6,29,58,202,25,3,70
109,Moondance - 2013 Remaster,Van Morrison,rock,1970,67,28,61,-12,15,56,274,50,3,70
