Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Everybody Wants To Rule The World,Tears For Fears,pop,1985,112,80,65,-12,10,54,251,35,5,90
2,Take on Me,a-ha,pop,1985,84,90,57,-8,9,88,225,2,5,88
3,Sweet Child O' Mine,Guns N' Roses,metal,1987,125,95,45,-5,11,62,356,9,5,88
4,Africa,TOTO,rock,1982,93,37,67,-18,5,73,296,26,3,87
5,Running Up That Hill (A Deal With God),Kate Bush,pop,1985,108,55,63,-13,6,19,299,72,5,86
6,I'm Still Standing,Elton John,rock,1983,177,90,50,-7,14,77,183,36,18,86
7,Welcome To The Jungle,Guns N' Roses,metal,1987,124,99,45,-4,27,32,273,2,9,85
8,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,pop,1987,119,82,71,-9,9,87,291,21,5,84
9,Smooth Operator - Single Version,Sade,soul,1994,119,58,73,-7,3,96,259,24,3,83
10,Could You Be Loved,Bob Marley & The Wailers,jazz,1980,103,72,92,-9,10,76,237,36,10,83
11,Under Pressure - Remastered 2011,Queen,rock,1982,114,71,67,-8,10,46,248,43,5,83
12,Billie Jean,Michael Jackson,r&b,2008,117,65,92,-3,4,85,294,2,4,83
13,Another One Bites The Dust - Remastered 2011,Queen,rock,1980,110,53,93,-6,16,75,215,11,16,83
14,Paradise City,Guns N' Roses,metal,1987,100,98,27,-6,18,40,406,2,10,83
15,Everywhere - 2017 Remaster,Fleetwood Mac,rock,1987,115,49,73,-11,9,73,227,26,3,82
16,Fast Car,Tracy Chapman,folk,1988,104,29,71,-16,13,19,297,31,4,82
17,Tainted Love,Soft Cell,pop,1981,144,50,50,-8,26,62,154,46,4,82
18,Careless Whisper,George Michael,pop,1998,153,63,57,-9,27,80,300,13,4,82
19,You Make My Dreams (Come True),Daryl Hall & John Oates,rock,1980,167,50,75,-12,5,90,191,23,6,82
20,Uptown Girl,Billy Joel,rock,1983,129,94,70,-3,60,79,198,8,5,82
21,Dancing In the Dark,Bruce Springsteen,rock,1984,149,94,53,-6,19,50,241,1,4,82
22,Wake Me Up Before You Go-Go,Wham!,pop,1984,82,57,62,-12,6,90,231,27,4,82
23,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,pop,1986,136,77,52,-6,14,88,245,4,3,81
24,Should I Stay or Should I Go - Remastered,The Clash,rock,1982,113,84,74,-6,38,82,189,8,12,81
25,Free Fallin',Tom Petty,rock,1989,84,45,62,-13,6,57,256,21,3,81
26,Kickstart My Heart,Mötley Crüe,rock,1989,90,98,47,-4,20,23,284,0,18,81
27,With Or Without You,U2,rock,1987,110,43,54,-12,14,11,296,0,3,81
28,Boys Don't Cry,The Cure,pop,1979,169,84,46,-6,18,67,156,1,6,80
29,Maneater,Daryl Hall & John Oates,rock,1982,89,50,72,-13,8,82,273,4,4,80
30,Master Of Puppets,Metallica,rock,1986,105,84,54,-9,15,56,515,0,4,80
31,9 to 5,Dolly Parton,pop,1980,105,78,55,-6,63,81,162,42,5,80
32,I Still Haven't Found What I'm Looking For,U2,rock,1987,101,77,56,-9,9,66,277,1,4,80
33,Start Me Up - Remastered 2009,The Rolling Stones,rock,1981,122,93,63,-4,9,97,213,4,4,80
34,In The Air Tonight - 2015 Remastered,Phil Collins,rock,1981,190,24,45,-14,7,30,336,55,3,79
35,Don't You Want Me,The Human League,pop,1981,118,74,73,-8,21,96,237,18,4,79
36,Lay All Your Love On Me,ABBA,pop,1980,133,73,68,-8,35,71,274,12,3,79
37,Material Girl,Madonna,pop,2009,137,88,74,-3,10,98,240,33,3,79
38,(I Just) Died In Your Arms,Cutting Crew,rock,1986,125,73,63,-11,6,51,280,2,4,79
39,I Won't Back Down,Tom Petty,rock,1989,114,48,77,-13,17,97,178,5,3,79
40,Rock with You - Single Version,Michael Jackson,r&b,1979,114,54,81,-13,16,85,221,18,4,78
41,Let's Groove,"Earth, Wind & Fire",funk,1981,125,65,87,-9,13,90,339,12,6,78
42,Every Little Thing She Does Is Magic,The Police,rock,1981,82,77,56,-10,12,43,261,12,3,78
43,We Didn't Start the Fire,Billy Joel,rock,1989,145,97,71,-5,36,90,288,8,5,78
44,You Can Call Me Al,Paul Simon,rock,1986,128,76,78,-8,8,82,280,18,5,78
45,I'm On Fire,Bruce Springsteen,rock,1984,89,45,62,-14,7,87,156,59,3,78
46,Walk This Way,Aerosmith,rock,1975,109,73,65,-11,8,89,220,1,4,78
47,Don't Stop 'Til You Get Enough,Michael Jackson,r&b,1979,119,82,88,-10,18,95,365,13,9,77
48,Smalltown Boy,Bronski Beat,funk,1984,135,58,69,-11,12,94,302,29,3,77
49,Don't You (Forget About Me) - Remastered 2001,Simple Minds,rock,2013,111,79,67,-7,30,68,261,9,3,77
50,Down Under,Men At Work,rock,1981,107,46,74,-14,5,89,222,13,3,77
51,Panama - 2015 Remaster,Van Halen,rock,1984,141,98,53,-5,7,45,210,0,11,77
52,Jack & Diane,John Mellencamp,rock,1982,104,41,81,-8,8,63,254,4,4,77
53,Gypsy,Fleetwood Mac,rock,1988,131,54,62,-14,27,85,265,2,3,76
54,Little Lies - 2017 Remaster,Fleetwood Mac,rock,1987,125,65,64,-10,6,87,221,22,3,76
55,Purple Rain,Prince,funk,1984,113,45,37,-10,69,19,521,4,3,76
56,Kiss,Prince,funk,1986,111,27,90,-12,5,74,226,1,9,76
57,Red Red Wine,UB40,jazz,2000,89,47,86,-9,27,84,184,0,5,76
58,Hungry Like the Wolf - 2009 Remaster,Duran Duran,rock,1982,128,81,69,-8,30,69,221,4,6,76
59,99 Luftballons,Nena,pop,1983,95,56,57,-7,11,50,232,10,5,76
60,The Winner Takes It All,ABBA,pop,1980,126,79,45,-7,9,52,295,57,4,76
61,Need You Tonight,INXS,rock,1987,109,63,80,-7,9,79,181,4,8,76
62,"Take My Breath Away - Love Theme from ""Top Gun""",Berlin,pop,1999,96,72,50,-9,41,55,256,6,3,76
63,You Spin Me Round (Like a Record),Dead Or Alive,funk,1983,128,96,55,-4,43,92,195,0,4,76
64,Just Can't Get Enough,Depeche Mode,rock,1981,128,77,77,-9,18,92,221,40,4,76
65,Just Like Heaven,The Cure,pop,1987,151,94,44,-7,22,48,212,5,4,75
66,Rock the Casbah - Remastered,The Clash,rock,1982,130,87,80,-7,28,87,222,29,6,75
67,Break My Stride,Matthew Wilder,pop,1983,110,59,92,-11,9,83,184,20,6,75
68,London Calling - Remastered,The Clash,rock,1979,134,80,65,-7,8,78,200,12,5,75
69,Never Tear Us Apart,INXS,rock,1987,97,61,66,-8,18,19,185,0,3,75
70,Enjoy the Silence,Depeche Mode,rock,1998,113,84,66,-6,8,75,255,20,3,75
71,Owner of a Lonely Heart,Yes,rock,1983,125,80,74,-6,26,89,269,18,4,75
72,Radio Ga Ga - Remastered 2011,Queen,rock,1984,112,50,74,-8,19,66,348,18,4,75
73,Rosanna,TOTO,rock,1982,81,51,37,-13,21,74,331,2,4,75
74,Never Too Much,Luther Vandross,soul,1981,110,59,73,-12,4,76,230,13,13,74
75,Edge of Seventeen - 2016 Remaster,Stevie Nicks,rock,1981,111,80,59,-7,8,66,329,33,5,74
76,Sexual Healing,Marvin Gaye,soul,1982,94,60,81,-10,6,74,239,12,6,74
77,Sunday Bloody Sunday - Remastered 2008,U2,rock,1983,101,94,54,-7,4,74,279,40,5,74
