Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Yellow,Coldplay,permanent wave,2000,173,66,43,-7,23,28,267,0,3,92
2,Without Me,Eminem,detroit hip hop,2002,112,67,91,-3,24,66,290,0,7,90
3,Flashing Lights,Kanye West,chicago rap,2007,90,63,64,-8,39,43,238,4,4,88
4,The Real Slim Shady,Eminem,detroit hip hop,2000,105,66,95,-4,5,76,284,3,6,88
5,Heartless,Kanye West,chicago rap,2008,88,65,79,-6,25,65,211,5,14,87
6,Mr. Brightside,The Killers,alternative rock,2004,148,91,35,-5,10,24,223,0,7,87
7,Somewhere Only We Know,Keane,neo mellow,2004,172,67,45,-4,8,30,237,6,3,87
8,Feel Good Inc.,Gorillaz,alternative hip hop,2005,139,71,82,-7,61,77,223,1,18,85
9,Promiscuous,Nelly Furtado,canadian latin,2006,114,97,81,-6,15,87,242,6,5,85
10,Pumped Up Kicks,Foster The People,indietronica,2011,128,71,73,-6,10,97,240,14,3,85
11,Ms. Jackson,Outkast,atl hip hop,2000,95,81,84,-6,8,61,271,14,27,84
12,Stronger,Kanye West,chicago rap,2007,104,72,62,-8,41,49,312,1,15,84
13,Hey Ya!,Outkast,atl hip hop,2003,80,97,73,-2,17,97,235,10,7,84
14,Empire State Of Mind,JAY-Z,east coast hip hop,2009,174,96,49,-2,46,81,277,3,39,84
15,Dog Days Are Over,Florence + The Machine,baroque pop,2009,150,81,50,-5,12,26,253,3,9,84
16,Stan,Eminem,detroit hip hop,2000,80,77,78,-4,52,51,404,4,24,84
17,Sex on Fire,Kings of Leon,modern rock,2008,153,91,54,-6,14,37,203,0,5,84
18,Can't Stop,Red Hot Chili Peppers,alternative rock,2002,91,94,62,-3,17,88,269,2,5,84
19,Clocks,Coldplay,permanent wave,2002,131,75,58,-7,18,26,308,60,3,84
20,The Middle,Jimmy Eat World,alternative metal,2001,162,85,64,-5,6,90,166,4,5,84
21,Smack That,Akon,dance pop,2006,119,74,94,-5,11,92,212,32,5,84
22,Party In The U.S.A.,Miley Cyrus,pop,2009,96,70,65,-5,9,47,202,0,4,84
23,Alright,Kendrick Lamar,conscious hip hop,2015,110,77,80,-6,8,56,219,7,24,83
24,Hate It Or Love It,The Game,gangster rap,2005,100,79,80,-5,12,44,206,14,21,83
25,Maneater,Nelly Furtado,canadian latin,2006,133,78,80,-5,12,79,259,3,4,83
26,The Way I Are,Timbaland,dance pop,2007,115,81,73,-6,32,77,179,18,10,83
27,Walking On A Dream,Empire of the Sun,australian dance,2008,127,70,87,-6,6,72,198,26,5,82
28,All Falls Down,Kanye West,chicago rap,2004,91,73,66,-5,14,43,224,15,48,82
29,Gold Digger,Kanye West,chicago rap,2005,93,70,63,-6,6,62,208,2,35,82
30,Take Me Out,Franz Ferdinand,alternative rock,2004,105,66,28,-9,14,53,237,0,4,82
31,Forgot About Dre,Dr. Dre,g funk,1999,134,74,92,-1,16,62,222,8,8,82
32,It Wasn't Me,Shaggy,pop rap,2000,95,61,85,-5,31,65,228,6,7,82
33,Say It Right,Nelly Furtado,canadian latin,2006,117,87,87,-6,5,81,223,5,14,82
34,This Love,Maroon 5,pop,2002,95,86,71,-5,9,81,206,5,4,82
35,How to Save a Life,The Fray,neo mellow,2005,122,74,64,-4,10,36,263,27,4,82
