Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
92,It's Only Make Believe,Conway Twitty,country,1959,129,47,46,-10,14,25,132,86,6,57
93,Poor Little Fool - Remastered,Ricky Nelson,adult standards,1958,155,34,47,-12,13,81,154,65,3,57
94,Mr. Blue,The Fleetwoods,blues,1993,97,9,37,-17,11,21,145,93,4,56
95,Crazy He Calls Me,Billie Holiday,adult standards,1958,73,14,48,-14,21,28,185,85,4,56
96,Who's Sorry Now,Connie Francis,adult standards,2005,88,33,52,-6,36,44,137,76,3,56
97,Rip It Up,Little Richard,blues,1957,96,64,90,-6,2,97,141,67,6,56
98,A Teenager's Romance,Ricky Nelson,adult standards,2000,103,48,51,-7,31,68,141,78,4,55
99,Love Is Strange,Mickey Baker,r&b,1957,122,64,59,-4,5,82,173,34,3,55
100,I'm So Lonesome I Could Cry,Hank Williams,country,1952,111,22,68,-13,13,65,169,87,3,55
101,Why Do Fools Fall in Love,Frankie Lymon & The Teenagers,blues,1999,174,46,44,-10,12,87,139,62,7,55
102,You Belong To Me,Jo Stafford,pop,2001,69,14,37,-15,11,17,193,95,3,55
103,Diana,Paul Anka,adult standards,1966,143,58,55,-8,80,92,141,76,3,55
104,My Prayer,The Platters,adult standards,1956,109,27,36,-8,10,25,168,81,3,55
105,Since I Don't Have You (Alternative Take),The Skyliners,blues,1959,71,60,27,-4,30,66,159,59,3,55
106,Born Too Late,The Poni-Tails,pop,1958,85,28,55,-10,12,79,139,82,3,54
107,Just A Gigolo - Remastered,Louis Prima,adult standards,1991,125,40,53,-12,6,72,283,60,9,54
108,Lonesome Town - 1990 Digital Remaster,Ricky Nelson,adult standards,1990,78,10,51,-18,10,30,136,86,3,53
109,Blue Skies,Ella Fitzgerald,adult standards,1959,79,28,61,-10,10,60,226,84,7,53
110,I've Got The World On A String,Frank Sinatra,adult standards,1995,123,33,60,-10,21,53,131,74,5,53
111,"Goodnight, Sweetheart, Goodnight",The Spaniels,blues,1953,73,24,56,-13,14,34,160,52,5,53
112,Bo Diddley,Bo Diddley,blues,1958,106,70,81,-12,18,56,149,18,6,53
113,I'll Look Around,Billie Holiday,adult standards,1956,70,9,44,-17,10,32,196,98,3,52
114,"Hey, Good Lookin'",Hank Williams,country,1998,141,37,79,-10,7,91,174,80,4,52
115,It's All In The Game,Tommy Edwards,adult standards,1958,70,34,47,-12,22,63,159,51,3,52
116,Sh-Boom,The Chords,jazz,1954,137,47,67,-9,13,88,147,78,5,51
117,Earth Angel,The Penguins,jazz,1954,79,34,49,-11,20,43,171,84,3,51
118,I Walk The Line - Single Version,Johnny Cash,country,1956,106,48,86,-11,11,79,163,80,4,51
119,Walkin' After Midnight,Patsy Cline,country,2006,136,19,56,-15,32,77,154,80,4,51
120,"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender""",Elvis Presley,rock,1958,103,4,40,-19,11,30,161,91,4,51
121,Black Coffee,Sarah Vaughan,jazz,1955,94,16,38,-12,10,13,200,97,3,51
122,Buona Sera - Remastered,Louis Prima,adult standards,1991,98,30,55,-14,7,81,187,78,11,51
123,Broken Hearted Melody,Sarah Vaughan,jazz,1959,132,51,43,-10,19,79,146,84,3,51
124,He'll Have to Go,Jim Reeves,soul,1997,81,19,55,-16,11,20,139,91,4,51
125,Lonely Teardrops,Jackie Wilson,soul,1959,137,48,52,-9,74,84,166,41,12,51
126,Jambalaya (On The Bayou),Hank Williams,country,1998,164,29,53,-11,7,89,172,71,3,50
127,Chances Are - Single Version,Johnny Mathis,adult standards,1956,78,25,31,-12,11,30,181,90,3,50
128,Tennessee Waltz,Patti Page,adult standards,1952,87,11,48,-15,18,38,181,87,3,50
129,Sea of Love,Phil Phillips,pop,1958,86,46,40,-10,17,30,142,92,3,49
130,16 Candles,Johnny Maestro,blues,1993,114,31,60,-11,9,60,175,73,3,49
131,Oh! Carol,Neil Sedaka,adult standards,2003,133,74,58,-7,32,82,136,77,5,49
132,"Good Golly, Miss Molly",Little Richard,blues,2008,164,86,57,-11,31,91,129,58,5,48
133,I Wonder Why - Remastered,Dion & The Belmonts,pop,2005,209,55,27,-9,16,95,139,71,4,47
134,Tears on My Pillow,Little Anthony & The Imperials,soul,1959,101,24,47,-10,15,49,135,84,3,47
135,Whole Lot Of Shakin' Going On - Single Version,Jerry Lee Lewis,rock,1957,162,62,38,-8,15,55,173,81,3,47
136,The Nearness Of You,Ella Fitzgerald,adult standards,2000,82,12,40,-18,11,22,342,83,6,46
137,The Book of Love,The Monotones,blues,1957,202,64,43,-11,36,54,142,79,39,46
138,Mister Sandman,The Chordettes,pop,2012,109,41,62,-9,12,55,144,82,5,45
139,"It's Not for Me to Say - From the MGM Film ""Lizzie""",Johnny Mathis,adult standards,1956,81,22,33,-13,10,45,183,94,4,45
140,Wonderful! Wonderful! (with Ray Conniff & His Orchestra & Chorus) - Single Version,Johnny Mathis,adult standards,2004,145,40,25,-9,10,56,170,74,3,45
141,Your Cheatin' Heart,Hank Williams,country,1998,128,24,67,-12,8,69,162,77,3,45
142,Money (That's What I Want),Barrett Strong,blues,2012,132,84,66,-7,11,95,160,34,3,43
143,There Goes My Baby - Single Version; 2019 Remaster,The Drifters,adult standards,2007,64,68,40,-3,63,61,130,52,3,42
144,Lovesick Blues,Hank Williams,country,1952,126,25,76,-11,13,71,165,95,4,40
145,Venus - Bonus Track,Frankie Avalon,adult standards,2013,115,49,53,-13,9,72,142,60,3,40
146,Maybe,The Chantels,pop,1958,104,40,49,-9,8,38,176,81,3,40
147,Just In Time - Remastered 1998,Dean Martin,adult standards,2009,127,27,51,-12,13,59,135,65,4,40
148,Manhattan,Dinah Washington,jazz,1959,137,24,32,-15,11,39,259,80,4,39
149,Autumn in New York - 2003 Remaster,Billie Holiday,adult standards,1952,71,13,54,-12,10,29,221,96,5,35
150,I'm Old Fashioned - Remastered 1997,John Coltrane,jazz,2009,79,13,49,-14,7,36,477,96,3,31
