Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Ain't No Mountain High Enough,Marvin Gaye,classic soul,1967,130,60,66,-11,18,80,152,43,3,86
2,Fortunate Son,Creedence Clearwater Revival,classic rock,1969,133,66,64,-8,15,66,141,20,4,86
3,Here Comes The Sun - Remastered 2009,The Beatles,beatlesque,1969,129,54,56,-10,18,39,186,3,3,85
4,"Paint It, Black",The Rolling Stones,album rock,1966,159,80,46,-9,40,61,202,5,9,85
5,Brown Eyed Girl,Van Morrison,classic rock,1967,151,58,49,-11,41,91,183,19,4,84
6,Bad Moon Rising,Creedence Clearwater Revival,classic rock,1969,179,77,51,-6,6,94,142,6,3,84
7,California Dreamin' - Single Version,The Mamas & The Papas,classic rock,1966,112,61,55,-10,5,64,162,35,3,82
8,My Girl,The Temptations,memphis soul,1965,105,42,57,-11,10,69,165,64,3,82
9,For What It's Worth,Buffalo Springfield,album rock,1966,99,52,65,-10,10,82,154,41,5,81
10,Can't Help Falling in Love,Elvis Presley,rock-and-roll,1961,100,29,40,-14,11,34,182,94,3,81
11,Sweet Caroline,Neil Diamond,adult standards,1969,63,13,53,-16,24,58,204,61,3,80
12,Come Together - Remastered 2009,The Beatles,beatlesque,1969,165,38,53,-12,9,19,260,3,4,79
13,What A Wonderful World,Louis Armstrong,adult standards,1968,77,17,27,-21,12,20,139,73,4,79
14,Respect,Aretha Franklin,classic soul,1967,115,56,81,-5,5,97,148,16,4,79
15,At Last,Etta James,jazz blues,1960,87,35,27,-9,33,33,180,55,3,78
16,Gimme Shelter,The Rolling Stones,album rock,1969,119,63,63,-8,17,49,271,45,3,78
17,Yesterday - Remastered 2009,The Beatles,beatlesque,1965,97,18,33,-12,9,32,126,88,3,78
18,Happy Together,The Turtles,bubblegum pop,1967,120,37,58,-10,8,59,176,55,3,78
19,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,classic rock,1968,92,46,61,-14,7,81,244,71,5,78
20,Son Of A Preacher Man,Dusty Springfield,adult standards,1969,180,43,40,-12,8,64,148,54,22,78
21,Whole Lotta Love - 1990 Remaster,Led Zeppelin,album rock,1969,90,90,41,-12,41,42,334,5,41,78
22,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,classic soul,1965,128,60,67,-9,11,97,160,25,3,77
